,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
27,0,0,0,0,0,0,0,0,0,0,0,0,0,4.164501711270164e-12,2.0198003812387256e-12,0,4.291654534265656e-12,3.3903687753745528e-12,3.4774808713913393e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,3.125611393704026e-12,3.463807367580014e-12,1.88852048096539e-12,6.935914501953162e-13,9.981113759817397e-13,1.977131893046576e-12,7.916355522178677e-13,3.2170499715133547e-13,2.9741272869410198e-12,1.1789751233279658e-12,2.4430515077751244e-12,3.3240716410165598e-12,3.237184684153109e-12,4.200311219754449e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,2.8147364562965034e-12,3.0860835250008394e-12,1.7703793750650706e-12,6.769992152877103e-13,9.641083292919422e-13,1.848023042353038e-12,7.700937574313637e-13,3.180890710502241e-13,2.6912921345654523e-12,1.1318235322443997e-12,2.2489102912454844e-12,2.9746720016559068e-12,2.9048990862071677e-12,3.6574673696965625e-12,0,0,0,0,0,0,0,0,0,3.018301750217543e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,2.8147364562965034e-12,3.0860835250008394e-12,1.7703793750650706e-12,6.769992152877103e-13,9.641083292919422e-13,1.848023042353038e-12,7.700937574313637e-13,3.180890710502241e-13,2.6912921345654523e-12,1.1318235322443997e-12,2.2489102912454844e-12,2.9746720016559068e-12,2.9048990862071677e-12,3.6574673696965625e-12,0,0,0,0,0,0,0,0,0,3.018301750217543e-12,2.3319854842105267e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,3.125611393704026e-12,3.463807367580014e-12,1.88852048096539e-12,6.935914501953162e-13,9.981113759817397e-13,1.977131893046576e-12,7.916355522178677e-13,3.2170499715133547e-13,2.9741272869410198e-12,1.1789751233279658e-12,2.4430515077751244e-12,3.3240716410165598e-12,3.237184684153109e-12,4.200311219754449e-12,0,0,0,0,0,0,0,0,0,3.57622836631579e-12,2.3891401016830606e-12,2.3891401016830606e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
